Output_File,AvgSlip,ARB_FrontRear&FrontToe&FrontBump&Diff_Coast&Front_Rebound
VLoutput0_00.csv,2.879599367,-267.1660098
VLoutput0_01.csv,2.69737245,3223.664265
VLoutput0_02.csv,4.733755135,1233.955299
VLoutput0_03.csv,5.303136074,4046.841011
VLoutput0_04.csv,,1815.804384
VLoutput0_05.csv,5.708001198,4544.620675
VLoutput0_06.csv,2.36320273,541.1308423
VLoutput0_07.csv,5.909940627,239.2881432
VLoutput0_08.csv,4.437977215,710.2770398
VLoutput0_09.csv,4.588165744,87.32875937
VLoutput0_10.csv,3.516577521,-132.1879702
VLoutput0_11.csv,2.798834746,0
VLoutput0_12.csv,2.304284151,1112.031443
VLoutput0_13.csv,4.675139209,99.19304416
VLoutput0_14.csv,6.248351694,29261.07349
VLoutput0_15.csv,6.543325091,888.4727726
VLoutput0_16.csv,3.37607153,-1445.256554
VLoutput0_17.csv,6.491282142,7819.133193
VLoutput0_18.csv,5.965371144,6620.371483
VLoutput0_19.csv,6.160739282,12521.69758
VLoutput0_20.csv,3.786235619,-600.345374
VLoutput0_21.csv,6.786339749,16810.9213
VLoutput0_22.csv,7.712646004,1822.999704
VLoutput0_23.csv,3.47656206,-7115.190769
VLoutput0_24.csv,2.560032867,646.870558
VLoutput0_25.csv,3.577454745,2493.764731
VLoutput0_26.csv,4.305367271,-94.98129031
VLoutput0_27.csv,2.512540599,-465.891368
VLoutput0_28.csv,7.974091887,2478.008152
VLoutput0_29.csv,5.043891763,2373.205318
VLoutput0_30.csv,9.112716577,3294.43062
VLoutput0_31.csv,9.415064864,91463.91958
VLoutput0_32.csv,2.523501919,-114.3968799
VLoutput0_33.csv,3.298322745,122.5450549
VLoutput0_34.csv,5.606000032,4720.423432
VLoutput0_35.csv,3.347734474,-7475.180851
VLoutput0_36.csv,2.429930924,-612.7512422
VLoutput0_37.csv,2.691441112,-3105.812435
VLoutput0_38.csv,3.510999566,-692.6118378
VLoutput0_39.csv,7.055926265,8471.540668
VLoutput0_40.csv,4.24670073,-800.9620277
VLoutput0_41.csv,7.084144267,3831.777571
VLoutput0_42.csv,4.109151666,-8542.00297
VLoutput0_43.csv,3.987055074,3380.877117
VLoutput0_44.csv,2.271459882,22050.60885
VLoutput0_45.csv,3.037166092,131.6105066
VLoutput0_46.csv,6.844137648,4642.318747
VLoutput0_48.csv,6.032396883,4605.508553
VLoutput0_49.csv,4.880838738,4133.521033
VLoutput1_01.csv,3.372706786,-3001.695046
VLoutput1_02.csv,2.6672163,-6882.276831
VLoutput1_03.csv,6.751452349,9520.426254
VLoutput1_04.csv,3.760320249,22444.00362
VLoutput1_05.csv,3.171107444,972.7473891
VLoutput1_06.csv,6.599964023,1723.317681
VLoutput1_07.csv,7.843112158,9033.849643
VLoutput1_08.csv,3.843816261,2867.408344
VLoutput1_09.csv,6.188494459,-5017.883614
VLoutput1_10.csv,4.073202312,17215.81035
VLoutput1_11.csv,6.881623548,1567.988852
VLoutput1_12.csv,,4242.294294
VLoutput1_13.csv,4.765445487,154.1109723
VLoutput1_14.csv,5.301316899,83894.6213
VLoutput1_15.csv,5.167889488,1752.662943
VLoutput1_16.csv,3.353630298,1237.453327
VLoutput1_17.csv,3.701912974,186.4342734
VLoutput1_18.csv,2.151513432,-6741.659522
VLoutput1_19.csv,4.145813272,-7941.776826
VLoutput1_20.csv,6.979890789,8892.846361
VLoutput1_21.csv,3.584552565,10171.11399
VLoutput1_22.csv,3.296171521,2119.188127
VLoutput1_23.csv,7.082824779,5454.593592
VLoutput1_24.csv,2.82976396,2393.221258
VLoutput1_25.csv,7.836096487,1015.211261
VLoutput1_26.csv,3.573740065,1567.577542
VLoutput1_27.csv,2.930034028,1192.479662
VLoutput1_28.csv,5.207316455,-8164.701552
VLoutput1_29.csv,2.969124327,6406.74671
VLoutput1_30.csv,3.068006782,-10.13487944
VLoutput1_31.csv,2.432794151,938.4014691
