parameter,value
brakes_DATA_MAX_TORQUE,542.52156
brakes_DATA_FRONT_SHARE,0.5356
drivetrain_DIFFERENTIAL_POWER,0.18483
drivetrain_DIFFERENTIAL_COAST,0.46672
drivetrain_DIFFERENTIAL_PRELOAD,12.73195
suspensions_BASIC_WHEELBASE,1.55655
suspensions_BASIC_CG_LOCATION,0.39445
suspensions_ARB_FRONT,116731.25335
suspensions_ARB_REAR,111316.07174
suspensions_FRONT_TRACK,1.05307
suspensions_FRONT_ROD_LENGTH,0.02472
suspensions_FRONT_TOE_OUT,0.00076
suspensions_FRONT_STATIC_CAMBER,-1.81617
suspensions_FRONT_SPRING_RATE,33319.53718
suspensions_FRONT_BUMP_STOP_RATE,194723.41597
suspensions_FRONT_PACKER_RANGE,0.06438
suspensions_FRONT_DAMP_BUMP,1463.33742
suspensions_FRONT_DAMP_FAST_BUMP,883.97802
suspensions_FRONT_DAMP_REBOUND,3335.99431
suspensions_FRONT_DAMP_FAST_REBOUND,1551.53845
suspensions_REAR_TRACK,1.17731
suspensions_REAR_ROD_LENGTH,0.01657
suspensions_REAR_TOE_OUT,-0.00045
suspensions_REAR_STATIC_CAMBER,-1.75216
suspensions_REAR_SPRING_RATE,64507.25763
suspensions_REAR_BUMP_STOP_RATE,194465.50621
suspensions_REAR_PACKER_RANGE,0.10201
suspensions_REAR_DAMP_BUMP,3730.66473
suspensions_REAR_DAMP_FAST_BUMP,2939.25603
suspensions_REAR_DAMP_REBOUND,1537.40733
suspensions_REAR_DAMP_FAST_REBOUND,1516.93022
tyres_FRONT_PRESSURE_STATIC,15.9462
tyres_REAR_PRESSURE_STATIC,7.48544
