parameter,value
brakes_DATA_MAX_TORQUE,734.50923
brakes_DATA_FRONT_SHARE,0.50567
drivetrain_DIFFERENTIAL_POWER,0.13714
drivetrain_DIFFERENTIAL_COAST,0.7292
drivetrain_DIFFERENTIAL_PRELOAD,20.64774
suspensions_BASIC_WHEELBASE,1.75545
suspensions_BASIC_CG_LOCATION,0.41828
suspensions_ARB_FRONT,98292.74303
suspensions_ARB_REAR,65041.92753
suspensions_FRONT_TRACK,1.29457
suspensions_FRONT_ROD_LENGTH,0.00074
suspensions_FRONT_TOE_OUT,0.00323
suspensions_FRONT_STATIC_CAMBER,-2.74706
suspensions_FRONT_SPRING_RATE,23279.61798
suspensions_FRONT_BUMP_STOP_RATE,51065.38838
suspensions_FRONT_PACKER_RANGE,0.04241
suspensions_FRONT_DAMP_BUMP,2386.92546
suspensions_FRONT_DAMP_FAST_BUMP,2197.83658
suspensions_FRONT_DAMP_REBOUND,3444.0874
suspensions_FRONT_DAMP_FAST_REBOUND,2640.99496
suspensions_REAR_TRACK,1.19641
suspensions_REAR_ROD_LENGTH,0.01522
suspensions_REAR_TOE_OUT,0.00392
suspensions_REAR_STATIC_CAMBER,-0.0857
suspensions_REAR_SPRING_RATE,47267.9084
suspensions_REAR_BUMP_STOP_RATE,138973.85153
suspensions_REAR_PACKER_RANGE,0.08512
suspensions_REAR_DAMP_BUMP,2947.84794
suspensions_REAR_DAMP_FAST_BUMP,3159.16189
suspensions_REAR_DAMP_REBOUND,3485.33395
suspensions_REAR_DAMP_FAST_REBOUND,689.02856
tyres_FRONT_PRESSURE_STATIC,17.08241
tyres_REAR_PRESSURE_STATIC,8.13701
