parameter,value
brakes_DATA_MAX_TORQUE,770.81856
brakes_DATA_FRONT_SHARE,0.54533
drivetrain_DIFFERENTIAL_POWER,0.22195
drivetrain_DIFFERENTIAL_COAST,0.7542
drivetrain_DIFFERENTIAL_PRELOAD,8.60383
suspensions_BASIC_WHEELBASE,1.70042
suspensions_BASIC_CG_LOCATION,0.5089
suspensions_ARB_FRONT,31760.20838
suspensions_ARB_REAR,122923.21036
suspensions_FRONT_TRACK,1.23135
suspensions_FRONT_ROD_LENGTH,0.02597
suspensions_FRONT_TOE_OUT,0.0031
suspensions_FRONT_STATIC_CAMBER,-0.51418
suspensions_FRONT_SPRING_RATE,28340.99878
suspensions_FRONT_BUMP_STOP_RATE,89495.14521
suspensions_FRONT_PACKER_RANGE,0.10015
suspensions_FRONT_DAMP_BUMP,2206.31965
suspensions_FRONT_DAMP_FAST_BUMP,1836.4675
suspensions_FRONT_DAMP_REBOUND,3455.50471
suspensions_FRONT_DAMP_FAST_REBOUND,889.67717
suspensions_REAR_TRACK,1.3379
suspensions_REAR_ROD_LENGTH,0.01858
suspensions_REAR_TOE_OUT,0.00039
suspensions_REAR_STATIC_CAMBER,-1.59307
suspensions_REAR_SPRING_RATE,63145.8632
suspensions_REAR_BUMP_STOP_RATE,114441.43382
suspensions_REAR_PACKER_RANGE,0.10182
suspensions_REAR_DAMP_BUMP,1559.58971
suspensions_REAR_DAMP_FAST_BUMP,3401.91656
suspensions_REAR_DAMP_REBOUND,4279.71677
suspensions_REAR_DAMP_FAST_REBOUND,813.80657
tyres_FRONT_PRESSURE_STATIC,8.38538
tyres_REAR_PRESSURE_STATIC,6.97863
