parameter,value
brakes_DATA_MAX_TORQUE,644.50754
brakes_DATA_FRONT_SHARE,0.50338
drivetrain_DIFFERENTIAL_POWER,0.07314
drivetrain_DIFFERENTIAL_COAST,0.47577
drivetrain_DIFFERENTIAL_PRELOAD,1.32352
suspensions_BASIC_WHEELBASE,1.74872
suspensions_BASIC_CG_LOCATION,0.35462
suspensions_ARB_FRONT,143284.10385
suspensions_ARB_REAR,35079.16725
suspensions_FRONT_TRACK,1.23837
suspensions_FRONT_ROD_LENGTH,0.02684
suspensions_FRONT_TOE_OUT,-0.00096
suspensions_FRONT_STATIC_CAMBER,-0.49956
suspensions_FRONT_SPRING_RATE,40193.25906
suspensions_FRONT_BUMP_STOP_RATE,101154.64922
suspensions_FRONT_PACKER_RANGE,0.07936
suspensions_FRONT_DAMP_BUMP,2615.70352
suspensions_FRONT_DAMP_FAST_BUMP,3087.56408
suspensions_FRONT_DAMP_REBOUND,1673.1496
suspensions_FRONT_DAMP_FAST_REBOUND,3193.24767
suspensions_REAR_TRACK,1.14432
suspensions_REAR_ROD_LENGTH,0.01654
suspensions_REAR_TOE_OUT,0.00158
suspensions_REAR_STATIC_CAMBER,-2.26907
suspensions_REAR_SPRING_RATE,21460.60437
suspensions_REAR_BUMP_STOP_RATE,130337.15984
suspensions_REAR_PACKER_RANGE,0.06543
suspensions_REAR_DAMP_BUMP,2204.05852
suspensions_REAR_DAMP_FAST_BUMP,1844.56194
suspensions_REAR_DAMP_REBOUND,3933.53871
suspensions_REAR_DAMP_FAST_REBOUND,1010.33638
tyres_FRONT_PRESSURE_STATIC,7.28414
tyres_REAR_PRESSURE_STATIC,13.52699
