parameter,value
brakes_DATA_MAX_TORQUE,788.73007
brakes_DATA_FRONT_SHARE,0.61336
drivetrain_DIFFERENTIAL_POWER,0.09547
drivetrain_DIFFERENTIAL_COAST,0.07991
drivetrain_DIFFERENTIAL_PRELOAD,12.66379
suspensions_BASIC_WHEELBASE,1.81708
suspensions_BASIC_CG_LOCATION,0.35084
suspensions_ARB_FRONT,115644.85562
suspensions_ARB_REAR,7649.25943
suspensions_FRONT_TRACK,1.33924
suspensions_FRONT_ROD_LENGTH,0.02468
suspensions_FRONT_TOE_OUT,-0.00136
suspensions_FRONT_STATIC_CAMBER,-0.18812
suspensions_FRONT_SPRING_RATE,43961.05963
suspensions_FRONT_BUMP_STOP_RATE,73438.77613
suspensions_FRONT_PACKER_RANGE,0.08564
suspensions_FRONT_DAMP_BUMP,3210.73289
suspensions_FRONT_DAMP_FAST_BUMP,2795.36664
suspensions_FRONT_DAMP_REBOUND,1505.45069
suspensions_FRONT_DAMP_FAST_REBOUND,591.83633
suspensions_REAR_TRACK,1.2127
suspensions_REAR_ROD_LENGTH,0.01215
suspensions_REAR_TOE_OUT,0.00019
suspensions_REAR_STATIC_CAMBER,-1.57887
suspensions_REAR_SPRING_RATE,59087.97216
suspensions_REAR_BUMP_STOP_RATE,105392.37135
suspensions_REAR_PACKER_RANGE,0.06432
suspensions_REAR_DAMP_BUMP,3538.71689
suspensions_REAR_DAMP_FAST_BUMP,2374.89822
suspensions_REAR_DAMP_REBOUND,3623.78447
suspensions_REAR_DAMP_FAST_REBOUND,1553.43584
tyres_FRONT_PRESSURE_STATIC,16.05069
tyres_REAR_PRESSURE_STATIC,12.96261
