parameter,value
brakes_DATA_MAX_TORQUE,548.65149
brakes_DATA_FRONT_SHARE,0.78008
drivetrain_DIFFERENTIAL_POWER,0.59939
drivetrain_DIFFERENTIAL_COAST,0.71728
drivetrain_DIFFERENTIAL_PRELOAD,4.01328
suspensions_BASIC_WHEELBASE,1.55709
suspensions_BASIC_CG_LOCATION,0.47309
suspensions_ARB_FRONT,41067.14445
suspensions_ARB_REAR,149916.24946
suspensions_FRONT_TRACK,1.25946
suspensions_FRONT_ROD_LENGTH,0.026
suspensions_FRONT_TOE_OUT,0.00358
suspensions_FRONT_STATIC_CAMBER,-1.69993
suspensions_FRONT_SPRING_RATE,42282.54719
suspensions_FRONT_BUMP_STOP_RATE,92692.41752
suspensions_FRONT_PACKER_RANGE,0.09646
suspensions_FRONT_DAMP_BUMP,1373.85098
suspensions_FRONT_DAMP_FAST_BUMP,2244.44583
suspensions_FRONT_DAMP_REBOUND,1886.38105
suspensions_FRONT_DAMP_FAST_REBOUND,2363.63166
suspensions_REAR_TRACK,1.30518
suspensions_REAR_ROD_LENGTH,0.01912
suspensions_REAR_TOE_OUT,-0.0015
suspensions_REAR_STATIC_CAMBER,0.03044
suspensions_REAR_SPRING_RATE,24411.0831
suspensions_REAR_BUMP_STOP_RATE,196851.62833
suspensions_REAR_PACKER_RANGE,0.04527
suspensions_REAR_DAMP_BUMP,2471.58548
suspensions_REAR_DAMP_FAST_BUMP,526.71588
suspensions_REAR_DAMP_REBOUND,4410.40304
suspensions_REAR_DAMP_FAST_REBOUND,1205.86404
tyres_FRONT_PRESSURE_STATIC,12.0427
tyres_REAR_PRESSURE_STATIC,6.21082
