parameter,value
brakes_DATA_MAX_TORQUE,484.11449
brakes_DATA_FRONT_SHARE,0.84127
drivetrain_DIFFERENTIAL_POWER,0.07049
drivetrain_DIFFERENTIAL_COAST,0.83219
drivetrain_DIFFERENTIAL_PRELOAD,4.55439
suspensions_BASIC_WHEELBASE,1.56581
suspensions_BASIC_CG_LOCATION,0.48777
suspensions_ARB_FRONT,56868.15645
suspensions_ARB_REAR,33555.97081
suspensions_FRONT_TRACK,1.26171
suspensions_FRONT_ROD_LENGTH,0.01683
suspensions_FRONT_TOE_OUT,-0.00031
suspensions_FRONT_STATIC_CAMBER,0.28929
suspensions_FRONT_SPRING_RATE,29982.04514
suspensions_FRONT_BUMP_STOP_RATE,161805.1892
suspensions_FRONT_PACKER_RANGE,0.10005
suspensions_FRONT_DAMP_BUMP,1825.33932
suspensions_FRONT_DAMP_FAST_BUMP,2762.72136
suspensions_FRONT_DAMP_REBOUND,1810.99733
suspensions_FRONT_DAMP_FAST_REBOUND,3027.95992
suspensions_REAR_TRACK,1.22241
suspensions_REAR_ROD_LENGTH,0.01432
suspensions_REAR_TOE_OUT,0.00104
suspensions_REAR_STATIC_CAMBER,-1.95986
suspensions_REAR_SPRING_RATE,54257.9394
suspensions_REAR_BUMP_STOP_RATE,195690.62999
suspensions_REAR_PACKER_RANGE,0.11889
suspensions_REAR_DAMP_BUMP,3980.61208
suspensions_REAR_DAMP_FAST_BUMP,1807.3525
suspensions_REAR_DAMP_REBOUND,3278.20074
suspensions_REAR_DAMP_FAST_REBOUND,2861.04179
tyres_FRONT_PRESSURE_STATIC,11.35026
tyres_REAR_PRESSURE_STATIC,7.15806
