parameter,value
brakes_DATA_MAX_TORQUE,449.48395
brakes_DATA_FRONT_SHARE,0.59108
drivetrain_DIFFERENTIAL_POWER,0.89461
drivetrain_DIFFERENTIAL_COAST,0.47134
drivetrain_DIFFERENTIAL_PRELOAD,8.33351
suspensions_BASIC_WHEELBASE,1.78048
suspensions_BASIC_CG_LOCATION,0.41827
suspensions_ARB_FRONT,62524.89731
suspensions_ARB_REAR,85240.55424
suspensions_FRONT_TRACK,1.3524
suspensions_FRONT_ROD_LENGTH,0.01905
suspensions_FRONT_TOE_OUT,0.0
suspensions_FRONT_STATIC_CAMBER,-1.60043
suspensions_FRONT_SPRING_RATE,33465.06187
suspensions_FRONT_BUMP_STOP_RATE,124519.51094
suspensions_FRONT_PACKER_RANGE,0.07546
suspensions_FRONT_DAMP_BUMP,1966.28313
suspensions_FRONT_DAMP_FAST_BUMP,2112.10827
suspensions_FRONT_DAMP_REBOUND,3207.21805
suspensions_FRONT_DAMP_FAST_REBOUND,2822.05894
suspensions_REAR_TRACK,1.23744
suspensions_REAR_ROD_LENGTH,0.02641
suspensions_REAR_TOE_OUT,0.0014
suspensions_REAR_STATIC_CAMBER,0.28219
suspensions_REAR_SPRING_RATE,57431.43406
suspensions_REAR_BUMP_STOP_RATE,168890.24185
suspensions_REAR_PACKER_RANGE,0.09539
suspensions_REAR_DAMP_BUMP,1212.32081
suspensions_REAR_DAMP_FAST_BUMP,1516.47131
suspensions_REAR_DAMP_REBOUND,1772.84342
suspensions_REAR_DAMP_FAST_REBOUND,2039.67283
tyres_FRONT_PRESSURE_STATIC,13.6988
tyres_REAR_PRESSURE_STATIC,11.02066
