parameter,value
brakes_DATA_MAX_TORQUE,725.93433
brakes_DATA_FRONT_SHARE,0.77412
drivetrain_DIFFERENTIAL_POWER,0.69636
drivetrain_DIFFERENTIAL_COAST,0.24366
drivetrain_DIFFERENTIAL_PRELOAD,18.47897
suspensions_BASIC_WHEELBASE,1.88474
suspensions_BASIC_CG_LOCATION,0.5064
suspensions_ARB_FRONT,68423.47673
suspensions_ARB_REAR,20802.14394
suspensions_FRONT_TRACK,1.33248
suspensions_FRONT_ROD_LENGTH,0.01689
suspensions_FRONT_TOE_OUT,0.00332
suspensions_FRONT_STATIC_CAMBER,-1.38919
suspensions_FRONT_SPRING_RATE,32106.82026
suspensions_FRONT_BUMP_STOP_RATE,84766.00823
suspensions_FRONT_PACKER_RANGE,0.09942
suspensions_FRONT_DAMP_BUMP,3333.46833
suspensions_FRONT_DAMP_FAST_BUMP,3304.07562
suspensions_FRONT_DAMP_REBOUND,2530.37351
suspensions_FRONT_DAMP_FAST_REBOUND,2431.25385
suspensions_REAR_TRACK,1.36009
suspensions_REAR_ROD_LENGTH,0.02692
suspensions_REAR_TOE_OUT,0.0024
suspensions_REAR_STATIC_CAMBER,-0.07012
suspensions_REAR_SPRING_RATE,58068.43487
suspensions_REAR_BUMP_STOP_RATE,118771.56881
suspensions_REAR_PACKER_RANGE,0.09652
suspensions_REAR_DAMP_BUMP,3490.94529
suspensions_REAR_DAMP_FAST_BUMP,1593.3485
suspensions_REAR_DAMP_REBOUND,3068.3339
suspensions_REAR_DAMP_FAST_REBOUND,2472.19277
tyres_FRONT_PRESSURE_STATIC,11.20927
tyres_REAR_PRESSURE_STATIC,16.6901
