parameter,value
brakes_DATA_MAX_TORQUE,792.95311
brakes_DATA_FRONT_SHARE,0.71992
drivetrain_DIFFERENTIAL_POWER,0.47965
drivetrain_DIFFERENTIAL_COAST,0.91846
drivetrain_DIFFERENTIAL_PRELOAD,1.69815
suspensions_BASIC_WHEELBASE,1.85158
suspensions_BASIC_CG_LOCATION,0.5656
suspensions_ARB_FRONT,37139.24167
suspensions_ARB_REAR,61384.01034
suspensions_FRONT_TRACK,1.3163
suspensions_FRONT_ROD_LENGTH,0.00028
suspensions_FRONT_TOE_OUT,-0.00027
suspensions_FRONT_STATIC_CAMBER,-1.74287
suspensions_FRONT_SPRING_RATE,39527.91634
suspensions_FRONT_BUMP_STOP_RATE,136814.26576
suspensions_FRONT_PACKER_RANGE,0.0618
suspensions_FRONT_DAMP_BUMP,1406.21296
suspensions_FRONT_DAMP_FAST_BUMP,905.10669
suspensions_FRONT_DAMP_REBOUND,2845.4325
suspensions_FRONT_DAMP_FAST_REBOUND,2111.31737
suspensions_REAR_TRACK,1.13239
suspensions_REAR_ROD_LENGTH,0.00472
suspensions_REAR_TOE_OUT,-0.00074
suspensions_REAR_STATIC_CAMBER,-2.30971
suspensions_REAR_SPRING_RATE,32906.88327
suspensions_REAR_BUMP_STOP_RATE,179892.72234
suspensions_REAR_PACKER_RANGE,0.10188
suspensions_REAR_DAMP_BUMP,2260.05386
suspensions_REAR_DAMP_FAST_BUMP,2624.54919
suspensions_REAR_DAMP_REBOUND,2260.30078
suspensions_REAR_DAMP_FAST_REBOUND,3473.82811
tyres_FRONT_PRESSURE_STATIC,9.58087
tyres_REAR_PRESSURE_STATIC,19.69421
