parameter,value
brakes_DATA_MAX_TORQUE,734.22773
brakes_DATA_FRONT_SHARE,0.73039
drivetrain_DIFFERENTIAL_POWER,0.39342
drivetrain_DIFFERENTIAL_COAST,0.9557
drivetrain_DIFFERENTIAL_PRELOAD,19.78418
suspensions_BASIC_WHEELBASE,1.56621
suspensions_BASIC_CG_LOCATION,0.39609
suspensions_ARB_FRONT,30082.51727
suspensions_ARB_REAR,61527.37125
suspensions_FRONT_TRACK,1.39359
suspensions_FRONT_ROD_LENGTH,0.02088
suspensions_FRONT_TOE_OUT,0.00212
suspensions_FRONT_STATIC_CAMBER,-0.73928
suspensions_FRONT_SPRING_RATE,33864.03452
suspensions_FRONT_BUMP_STOP_RATE,60942.65312
suspensions_FRONT_PACKER_RANGE,0.07268
suspensions_FRONT_DAMP_BUMP,2125.43182
suspensions_FRONT_DAMP_FAST_BUMP,3187.8054
suspensions_FRONT_DAMP_REBOUND,2204.87776
suspensions_FRONT_DAMP_FAST_REBOUND,2071.56655
suspensions_REAR_TRACK,1.14699
suspensions_REAR_ROD_LENGTH,0.01847
suspensions_REAR_TOE_OUT,0.00022
suspensions_REAR_STATIC_CAMBER,0.2182
suspensions_REAR_SPRING_RATE,42989.81891
suspensions_REAR_BUMP_STOP_RATE,188560.92372
suspensions_REAR_PACKER_RANGE,0.04105
suspensions_REAR_DAMP_BUMP,3472.79464
suspensions_REAR_DAMP_FAST_BUMP,1710.34267
suspensions_REAR_DAMP_REBOUND,3404.45812
suspensions_REAR_DAMP_FAST_REBOUND,2501.80886
tyres_FRONT_PRESSURE_STATIC,19.10862
tyres_REAR_PRESSURE_STATIC,18.65337
