parameter,value
brakes_DATA_MAX_TORQUE,666.49156
brakes_DATA_FRONT_SHARE,0.66707
drivetrain_DIFFERENTIAL_POWER,0.90209
drivetrain_DIFFERENTIAL_COAST,0.21448
drivetrain_DIFFERENTIAL_PRELOAD,22.36049
suspensions_BASIC_WHEELBASE,1.89264
suspensions_BASIC_CG_LOCATION,0.51827
suspensions_ARB_FRONT,66533.59626
suspensions_ARB_REAR,58038.35129
suspensions_FRONT_TRACK,1.38023
suspensions_FRONT_ROD_LENGTH,0.017
suspensions_FRONT_TOE_OUT,0.00151
suspensions_FRONT_STATIC_CAMBER,-2.6014
suspensions_FRONT_SPRING_RATE,27936.24779
suspensions_FRONT_BUMP_STOP_RATE,133201.37802
suspensions_FRONT_PACKER_RANGE,0.08859
suspensions_FRONT_DAMP_BUMP,3318.49058
suspensions_FRONT_DAMP_FAST_BUMP,1095.12424
suspensions_FRONT_DAMP_REBOUND,3284.6256
suspensions_FRONT_DAMP_FAST_REBOUND,3200.97452
suspensions_REAR_TRACK,1.22811
suspensions_REAR_ROD_LENGTH,0.02777
suspensions_REAR_TOE_OUT,0.00158
suspensions_REAR_STATIC_CAMBER,-0.85476
suspensions_REAR_SPRING_RATE,50433.37253
suspensions_REAR_BUMP_STOP_RATE,138013.07784
suspensions_REAR_PACKER_RANGE,0.07931
suspensions_REAR_DAMP_BUMP,3940.35868
suspensions_REAR_DAMP_FAST_BUMP,1197.0191
suspensions_REAR_DAMP_REBOUND,3506.68055
suspensions_REAR_DAMP_FAST_REBOUND,1714.07434
tyres_FRONT_PRESSURE_STATIC,11.07106
tyres_REAR_PRESSURE_STATIC,14.11274
