parameter,value
brakes_DATA_MAX_TORQUE,469.76766
brakes_DATA_FRONT_SHARE,0.60059
drivetrain_DIFFERENTIAL_POWER,0.68176
drivetrain_DIFFERENTIAL_COAST,0.68551
drivetrain_DIFFERENTIAL_PRELOAD,5.07898
suspensions_BASIC_WHEELBASE,1.83282
suspensions_BASIC_CG_LOCATION,0.57426
suspensions_ARB_FRONT,28553.79245
suspensions_ARB_REAR,73324.91316
suspensions_FRONT_TRACK,1.07069
suspensions_FRONT_ROD_LENGTH,0.02421
suspensions_FRONT_TOE_OUT,0.00076
suspensions_FRONT_STATIC_CAMBER,0.0882
suspensions_FRONT_SPRING_RATE,28982.33177
suspensions_FRONT_BUMP_STOP_RATE,148949.19789
suspensions_FRONT_PACKER_RANGE,0.04852
suspensions_FRONT_DAMP_BUMP,1413.26715
suspensions_FRONT_DAMP_FAST_BUMP,2794.453
suspensions_FRONT_DAMP_REBOUND,2256.07479
suspensions_FRONT_DAMP_FAST_REBOUND,1814.37664
suspensions_REAR_TRACK,1.03698
suspensions_REAR_ROD_LENGTH,0.00397
suspensions_REAR_TOE_OUT,-0.00048
suspensions_REAR_STATIC_CAMBER,-0.20239
suspensions_REAR_SPRING_RATE,59369.2292
suspensions_REAR_BUMP_STOP_RATE,178725.92006
suspensions_REAR_PACKER_RANGE,0.10414
suspensions_REAR_DAMP_BUMP,1314.70925
suspensions_REAR_DAMP_FAST_BUMP,2362.81597
suspensions_REAR_DAMP_REBOUND,3093.43455
suspensions_REAR_DAMP_FAST_REBOUND,3441.95272
tyres_FRONT_PRESSURE_STATIC,8.46643
tyres_REAR_PRESSURE_STATIC,16.94134
