parameter,value
brakes_DATA_MAX_TORQUE,476.93866
brakes_DATA_FRONT_SHARE,0.62553
drivetrain_DIFFERENTIAL_POWER,0.13423
drivetrain_DIFFERENTIAL_COAST,0.23386
drivetrain_DIFFERENTIAL_PRELOAD,7.2893
suspensions_BASIC_WHEELBASE,1.76906
suspensions_BASIC_CG_LOCATION,0.50934
suspensions_ARB_FRONT,38546.06474
suspensions_ARB_REAR,137331.82539
suspensions_FRONT_TRACK,1.16833
suspensions_FRONT_ROD_LENGTH,0.00282
suspensions_FRONT_TOE_OUT,-0.00148
suspensions_FRONT_STATIC_CAMBER,-2.97068
suspensions_FRONT_SPRING_RATE,26540.61555
suspensions_FRONT_BUMP_STOP_RATE,67634.98438
suspensions_FRONT_PACKER_RANGE,0.07029
suspensions_FRONT_DAMP_BUMP,2950.26513
suspensions_FRONT_DAMP_FAST_BUMP,2582.97329
suspensions_FRONT_DAMP_REBOUND,2794.63032
suspensions_FRONT_DAMP_FAST_REBOUND,3467.76772
suspensions_REAR_TRACK,1.29309
suspensions_REAR_ROD_LENGTH,0.01848
suspensions_REAR_TOE_OUT,0.0013
suspensions_REAR_STATIC_CAMBER,-1.25344
suspensions_REAR_SPRING_RATE,47851.42964
suspensions_REAR_BUMP_STOP_RATE,86372.07897
suspensions_REAR_PACKER_RANGE,0.05037
suspensions_REAR_DAMP_BUMP,3178.50971
suspensions_REAR_DAMP_FAST_BUMP,1304.24832
suspensions_REAR_DAMP_REBOUND,1517.87488
suspensions_REAR_DAMP_FAST_REBOUND,1629.01767
tyres_FRONT_PRESSURE_STATIC,8.88133
tyres_REAR_PRESSURE_STATIC,15.63273
