parameter,value
brakes_DATA_MAX_TORQUE,599.83376
brakes_DATA_FRONT_SHARE,0.60502
drivetrain_DIFFERENTIAL_POWER,0.51992
drivetrain_DIFFERENTIAL_COAST,0.30154
drivetrain_DIFFERENTIAL_PRELOAD,21.66873
suspensions_BASIC_WHEELBASE,1.59306
suspensions_BASIC_CG_LOCATION,0.41744
suspensions_ARB_FRONT,144832.77726
suspensions_ARB_REAR,136642.45685
suspensions_FRONT_TRACK,1.24441
suspensions_FRONT_ROD_LENGTH,0.02156
suspensions_FRONT_TOE_OUT,-0.00086
suspensions_FRONT_STATIC_CAMBER,-1.67101
suspensions_FRONT_SPRING_RATE,25791.26623
suspensions_FRONT_BUMP_STOP_RATE,100676.69174
suspensions_FRONT_PACKER_RANGE,0.04914
suspensions_FRONT_DAMP_BUMP,3202.89962
suspensions_FRONT_DAMP_FAST_BUMP,953.79245
suspensions_FRONT_DAMP_REBOUND,3409.56255
suspensions_FRONT_DAMP_FAST_REBOUND,577.81253
suspensions_REAR_TRACK,1.07385
suspensions_REAR_ROD_LENGTH,0.02438
suspensions_REAR_TOE_OUT,0.0015
suspensions_REAR_STATIC_CAMBER,0.1899
suspensions_REAR_SPRING_RATE,38966.78534
suspensions_REAR_BUMP_STOP_RATE,159836.41493
suspensions_REAR_PACKER_RANGE,0.10686
suspensions_REAR_DAMP_BUMP,3552.29348
suspensions_REAR_DAMP_FAST_BUMP,1410.80971
suspensions_REAR_DAMP_REBOUND,3758.61619
suspensions_REAR_DAMP_FAST_REBOUND,983.95638
tyres_FRONT_PRESSURE_STATIC,8.274
tyres_REAR_PRESSURE_STATIC,9.81609
