parameter,value
brakes_DATA_MAX_TORQUE,404.67296
brakes_DATA_FRONT_SHARE,0.68533
drivetrain_DIFFERENTIAL_POWER,0.36535
drivetrain_DIFFERENTIAL_COAST,0.12652
drivetrain_DIFFERENTIAL_PRELOAD,23.13682
suspensions_BASIC_WHEELBASE,1.6569
suspensions_BASIC_CG_LOCATION,0.56981
suspensions_ARB_FRONT,54928.21506
suspensions_ARB_REAR,99241.02041
suspensions_FRONT_TRACK,1.2873
suspensions_FRONT_ROD_LENGTH,0.00505
suspensions_FRONT_TOE_OUT,-0.00038
suspensions_FRONT_STATIC_CAMBER,-1.64296
suspensions_FRONT_SPRING_RATE,40363.30104
suspensions_FRONT_BUMP_STOP_RATE,155314.72826
suspensions_FRONT_PACKER_RANGE,0.0409
suspensions_FRONT_DAMP_BUMP,1944.38342
suspensions_FRONT_DAMP_FAST_BUMP,2723.52239
suspensions_FRONT_DAMP_REBOUND,2554.83572
suspensions_FRONT_DAMP_FAST_REBOUND,3375.39087
suspensions_REAR_TRACK,1.23558
suspensions_REAR_ROD_LENGTH,0.00536
suspensions_REAR_TOE_OUT,0.00073
suspensions_REAR_STATIC_CAMBER,-2.59556
suspensions_REAR_SPRING_RATE,37483.25602
suspensions_REAR_BUMP_STOP_RATE,64155.59613
suspensions_REAR_PACKER_RANGE,0.07298
suspensions_REAR_DAMP_BUMP,3999.25314
suspensions_REAR_DAMP_FAST_BUMP,3363.71093
suspensions_REAR_DAMP_REBOUND,1933.52925
suspensions_REAR_DAMP_FAST_REBOUND,2256.09291
tyres_FRONT_PRESSURE_STATIC,10.01387
tyres_REAR_PRESSURE_STATIC,19.44935
