parameter,value
brakes_DATA_MAX_TORQUE,554.69234
brakes_DATA_FRONT_SHARE,0.59068
drivetrain_DIFFERENTIAL_POWER,0.32203
drivetrain_DIFFERENTIAL_COAST,0.48069
drivetrain_DIFFERENTIAL_PRELOAD,4.43188
suspensions_BASIC_WHEELBASE,1.60063
suspensions_BASIC_CG_LOCATION,0.44484
suspensions_ARB_FRONT,114413.12725
suspensions_ARB_REAR,39651.98136
suspensions_FRONT_TRACK,1.16567
suspensions_FRONT_ROD_LENGTH,0.00652
suspensions_FRONT_TOE_OUT,-0.00055
suspensions_FRONT_STATIC_CAMBER,-2.11415
suspensions_FRONT_SPRING_RATE,22461.12337
suspensions_FRONT_BUMP_STOP_RATE,178429.69885
suspensions_FRONT_PACKER_RANGE,0.05354
suspensions_FRONT_DAMP_BUMP,2779.61189
suspensions_FRONT_DAMP_FAST_BUMP,670.01133
suspensions_FRONT_DAMP_REBOUND,2366.45191
suspensions_FRONT_DAMP_FAST_REBOUND,938.19716
suspensions_REAR_TRACK,1.21507
suspensions_REAR_ROD_LENGTH,0.02197
suspensions_REAR_TOE_OUT,0.00025
suspensions_REAR_STATIC_CAMBER,-1.17404
suspensions_REAR_SPRING_RATE,53725.57582
suspensions_REAR_BUMP_STOP_RATE,134740.07233
suspensions_REAR_PACKER_RANGE,0.07082
suspensions_REAR_DAMP_BUMP,3997.25146
suspensions_REAR_DAMP_FAST_BUMP,3259.05668
suspensions_REAR_DAMP_REBOUND,3804.2529
suspensions_REAR_DAMP_FAST_REBOUND,692.76856
tyres_FRONT_PRESSURE_STATIC,6.53877
tyres_REAR_PRESSURE_STATIC,12.26168
