parameter,value
brakes_DATA_MAX_TORQUE,542.79313
brakes_DATA_FRONT_SHARE,0.52542
drivetrain_DIFFERENTIAL_POWER,0.98902
drivetrain_DIFFERENTIAL_COAST,0.06738
drivetrain_DIFFERENTIAL_PRELOAD,19.48927
suspensions_BASIC_WHEELBASE,1.65987
suspensions_BASIC_CG_LOCATION,0.51408
suspensions_ARB_FRONT,146054.8786
suspensions_ARB_REAR,25396.37531
suspensions_FRONT_TRACK,1.22758
suspensions_FRONT_ROD_LENGTH,0.02337
suspensions_FRONT_TOE_OUT,0.00362
suspensions_FRONT_STATIC_CAMBER,-2.13242
suspensions_FRONT_SPRING_RATE,34685.57816
suspensions_FRONT_BUMP_STOP_RATE,160774.22668
suspensions_FRONT_PACKER_RANGE,0.07579
suspensions_FRONT_DAMP_BUMP,1956.46337
suspensions_FRONT_DAMP_FAST_BUMP,3457.10106
suspensions_FRONT_DAMP_REBOUND,3706.0638
suspensions_FRONT_DAMP_FAST_REBOUND,1539.22398
suspensions_REAR_TRACK,1.34664
suspensions_REAR_ROD_LENGTH,0.01977
suspensions_REAR_TOE_OUT,0.00066
suspensions_REAR_STATIC_CAMBER,-0.97827
suspensions_REAR_SPRING_RATE,31714.02234
suspensions_REAR_BUMP_STOP_RATE,64131.052
suspensions_REAR_PACKER_RANGE,0.10242
suspensions_REAR_DAMP_BUMP,2268.63027
suspensions_REAR_DAMP_FAST_BUMP,2496.76357
suspensions_REAR_DAMP_REBOUND,2278.87651
suspensions_REAR_DAMP_FAST_REBOUND,2256.70207
tyres_FRONT_PRESSURE_STATIC,11.45936
tyres_REAR_PRESSURE_STATIC,17.47092
