parameter,value
brakes_DATA_MAX_TORQUE,461.67141
brakes_DATA_FRONT_SHARE,0.77293
drivetrain_DIFFERENTIAL_POWER,0.18804
drivetrain_DIFFERENTIAL_COAST,0.13361
drivetrain_DIFFERENTIAL_PRELOAD,8.09777
suspensions_BASIC_WHEELBASE,1.60096
suspensions_BASIC_CG_LOCATION,0.55523
suspensions_ARB_FRONT,55124.7662
suspensions_ARB_REAR,35996.12435
suspensions_FRONT_TRACK,1.00256
suspensions_FRONT_ROD_LENGTH,0.02204
suspensions_FRONT_TOE_OUT,0.00086
suspensions_FRONT_STATIC_CAMBER,0.30383
suspensions_FRONT_SPRING_RATE,40404.39328
suspensions_FRONT_BUMP_STOP_RATE,188120.05307
suspensions_FRONT_PACKER_RANGE,0.11733
suspensions_FRONT_DAMP_BUMP,1071.54511
suspensions_FRONT_DAMP_FAST_BUMP,1485.59174
suspensions_FRONT_DAMP_REBOUND,3766.94158
suspensions_FRONT_DAMP_FAST_REBOUND,2263.85587
suspensions_REAR_TRACK,1.26994
suspensions_REAR_ROD_LENGTH,0.0185
suspensions_REAR_TOE_OUT,0.00085
suspensions_REAR_STATIC_CAMBER,-2.53584
suspensions_REAR_SPRING_RATE,64239.73199
suspensions_REAR_BUMP_STOP_RATE,116536.26778
suspensions_REAR_PACKER_RANGE,0.09178
suspensions_REAR_DAMP_BUMP,1083.37799
suspensions_REAR_DAMP_FAST_BUMP,1628.80036
suspensions_REAR_DAMP_REBOUND,1581.50143
suspensions_REAR_DAMP_FAST_REBOUND,3092.37689
tyres_FRONT_PRESSURE_STATIC,8.12552
tyres_REAR_PRESSURE_STATIC,8.76294
