parameter,value
brakes_DATA_MAX_TORQUE,413.70248
brakes_DATA_FRONT_SHARE,0.69498
drivetrain_DIFFERENTIAL_POWER,0.51526
drivetrain_DIFFERENTIAL_COAST,0.22771
drivetrain_DIFFERENTIAL_PRELOAD,7.26717
suspensions_BASIC_WHEELBASE,1.57667
suspensions_BASIC_CG_LOCATION,0.41456
suspensions_ARB_FRONT,127446.3061
suspensions_ARB_REAR,119004.50049
suspensions_FRONT_TRACK,1.18411
suspensions_FRONT_ROD_LENGTH,0.0179
suspensions_FRONT_TOE_OUT,0.00264
suspensions_FRONT_STATIC_CAMBER,-0.79521
suspensions_FRONT_SPRING_RATE,21518.07726
suspensions_FRONT_BUMP_STOP_RATE,150815.13223
suspensions_FRONT_PACKER_RANGE,0.10848
suspensions_FRONT_DAMP_BUMP,1409.42186
suspensions_FRONT_DAMP_FAST_BUMP,1993.75582
suspensions_FRONT_DAMP_REBOUND,3160.08413
suspensions_FRONT_DAMP_FAST_REBOUND,2728.48012
suspensions_REAR_TRACK,1.26214
suspensions_REAR_ROD_LENGTH,0.02402
suspensions_REAR_TOE_OUT,0.00061
suspensions_REAR_STATIC_CAMBER,-0.67446
suspensions_REAR_SPRING_RATE,42477.73919
suspensions_REAR_BUMP_STOP_RATE,115336.49693
suspensions_REAR_PACKER_RANGE,0.07988
suspensions_REAR_DAMP_BUMP,3920.87374
suspensions_REAR_DAMP_FAST_BUMP,3030.11949
suspensions_REAR_DAMP_REBOUND,1705.4301
suspensions_REAR_DAMP_FAST_REBOUND,2543.60907
tyres_FRONT_PRESSURE_STATIC,16.2586
tyres_REAR_PRESSURE_STATIC,6.16511
