parameter,value
brakes_DATA_MAX_TORQUE,559.25235
brakes_DATA_FRONT_SHARE,0.79939
drivetrain_DIFFERENTIAL_POWER,0.22576
drivetrain_DIFFERENTIAL_COAST,0.56922
drivetrain_DIFFERENTIAL_PRELOAD,16.88803
suspensions_BASIC_WHEELBASE,1.71478
suspensions_BASIC_CG_LOCATION,0.51513
suspensions_ARB_FRONT,10370.47252
suspensions_ARB_REAR,93092.18708
suspensions_FRONT_TRACK,1.32977
suspensions_FRONT_ROD_LENGTH,0.0145
suspensions_FRONT_TOE_OUT,0.00156
suspensions_FRONT_STATIC_CAMBER,-2.82367
suspensions_FRONT_SPRING_RATE,38901.41619
suspensions_FRONT_BUMP_STOP_RATE,160399.8089
suspensions_FRONT_PACKER_RANGE,0.08131
suspensions_FRONT_DAMP_BUMP,3158.71911
suspensions_FRONT_DAMP_FAST_BUMP,2279.12752
suspensions_FRONT_DAMP_REBOUND,3949.10207
suspensions_FRONT_DAMP_FAST_REBOUND,2133.12143
suspensions_REAR_TRACK,1.23234
suspensions_REAR_ROD_LENGTH,0.02967
suspensions_REAR_TOE_OUT,0.0031
suspensions_REAR_STATIC_CAMBER,0.49993
suspensions_REAR_SPRING_RATE,61440.2859
suspensions_REAR_BUMP_STOP_RATE,71116.92792
suspensions_REAR_PACKER_RANGE,0.06087
suspensions_REAR_DAMP_BUMP,3209.06951
suspensions_REAR_DAMP_FAST_BUMP,3085.15136
suspensions_REAR_DAMP_REBOUND,2820.72567
suspensions_REAR_DAMP_FAST_REBOUND,2366.8121
tyres_FRONT_PRESSURE_STATIC,17.13329
tyres_REAR_PRESSURE_STATIC,14.82224
