parameter,value
brakes_DATA_MAX_TORQUE,699.75755
brakes_DATA_FRONT_SHARE,0.82484
drivetrain_DIFFERENTIAL_POWER,0.31064
drivetrain_DIFFERENTIAL_COAST,0.29646
drivetrain_DIFFERENTIAL_PRELOAD,20.03754
suspensions_BASIC_WHEELBASE,1.55717
suspensions_BASIC_CG_LOCATION,0.56989
suspensions_ARB_FRONT,25192.29811
suspensions_ARB_REAR,78546.3954
suspensions_FRONT_TRACK,1.31908
suspensions_FRONT_ROD_LENGTH,0.01687
suspensions_FRONT_TOE_OUT,0.00016
suspensions_FRONT_STATIC_CAMBER,-2.50393
suspensions_FRONT_SPRING_RATE,38343.21579
suspensions_FRONT_BUMP_STOP_RATE,114237.14951
suspensions_FRONT_PACKER_RANGE,0.11571
suspensions_FRONT_DAMP_BUMP,3440.29475
suspensions_FRONT_DAMP_FAST_BUMP,2200.39135
suspensions_FRONT_DAMP_REBOUND,2341.38334
suspensions_FRONT_DAMP_FAST_REBOUND,1521.9332
suspensions_REAR_TRACK,1.19577
suspensions_REAR_ROD_LENGTH,0.01387
suspensions_REAR_TOE_OUT,0.00396
suspensions_REAR_STATIC_CAMBER,0.12385
suspensions_REAR_SPRING_RATE,36015.04485
suspensions_REAR_BUMP_STOP_RATE,51969.60241
suspensions_REAR_PACKER_RANGE,0.05543
suspensions_REAR_DAMP_BUMP,1957.7279
suspensions_REAR_DAMP_FAST_BUMP,2328.1112
suspensions_REAR_DAMP_REBOUND,2748.06448
suspensions_REAR_DAMP_FAST_REBOUND,3010.35759
tyres_FRONT_PRESSURE_STATIC,12.79409
tyres_REAR_PRESSURE_STATIC,15.44194
