parameter,value
brakes_DATA_MAX_TORQUE,786.63624
brakes_DATA_FRONT_SHARE,0.50937
drivetrain_DIFFERENTIAL_POWER,0.15286
drivetrain_DIFFERENTIAL_COAST,0.58511
drivetrain_DIFFERENTIAL_PRELOAD,1.04687
suspensions_BASIC_WHEELBASE,1.59998
suspensions_BASIC_CG_LOCATION,0.56692
suspensions_ARB_FRONT,59251.37586
suspensions_ARB_REAR,95343.75804
suspensions_FRONT_TRACK,1.18378
suspensions_FRONT_ROD_LENGTH,0.02085
suspensions_FRONT_TOE_OUT,-0.00063
suspensions_FRONT_STATIC_CAMBER,-2.81278
suspensions_FRONT_SPRING_RATE,30967.60822
suspensions_FRONT_BUMP_STOP_RATE,198206.99193
suspensions_FRONT_PACKER_RANGE,0.06984
suspensions_FRONT_DAMP_BUMP,1855.86685
suspensions_FRONT_DAMP_FAST_BUMP,1054.01887
suspensions_FRONT_DAMP_REBOUND,1629.14167
suspensions_FRONT_DAMP_FAST_REBOUND,3068.16523
suspensions_REAR_TRACK,1.11974
suspensions_REAR_ROD_LENGTH,0.01145
suspensions_REAR_TOE_OUT,0.00349
suspensions_REAR_STATIC_CAMBER,-1.30431
suspensions_REAR_SPRING_RATE,57054.28251
suspensions_REAR_BUMP_STOP_RATE,185623.87566
suspensions_REAR_PACKER_RANGE,0.08829
suspensions_REAR_DAMP_BUMP,3499.24583
suspensions_REAR_DAMP_FAST_BUMP,2271.8753
suspensions_REAR_DAMP_REBOUND,2978.37557
suspensions_REAR_DAMP_FAST_REBOUND,3418.85189
tyres_FRONT_PRESSURE_STATIC,14.28224
tyres_REAR_PRESSURE_STATIC,10.69406
