parameter,value
brakes_DATA_MAX_TORQUE,647.07718
brakes_DATA_FRONT_SHARE,0.73874
drivetrain_DIFFERENTIAL_POWER,0.79028
drivetrain_DIFFERENTIAL_COAST,0.71476
drivetrain_DIFFERENTIAL_PRELOAD,10.57096
suspensions_BASIC_WHEELBASE,1.54886
suspensions_BASIC_CG_LOCATION,0.58662
suspensions_ARB_FRONT,118494.1884
suspensions_ARB_REAR,29255.5684
suspensions_FRONT_TRACK,1.1131
suspensions_FRONT_ROD_LENGTH,0.00524
suspensions_FRONT_TOE_OUT,-0.00038
suspensions_FRONT_STATIC_CAMBER,-0.62833
suspensions_FRONT_SPRING_RATE,37874.16807
suspensions_FRONT_BUMP_STOP_RATE,66809.08274
suspensions_FRONT_PACKER_RANGE,0.09837
suspensions_FRONT_DAMP_BUMP,2109.76176
suspensions_FRONT_DAMP_FAST_BUMP,1135.48096
suspensions_FRONT_DAMP_REBOUND,3220.74203
suspensions_FRONT_DAMP_FAST_REBOUND,2988.85629
suspensions_REAR_TRACK,1.20516
suspensions_REAR_ROD_LENGTH,0.02073
suspensions_REAR_TOE_OUT,-0.00036
suspensions_REAR_STATIC_CAMBER,-1.37595
suspensions_REAR_SPRING_RATE,50892.25214
suspensions_REAR_BUMP_STOP_RATE,117661.88052
suspensions_REAR_PACKER_RANGE,0.10753
suspensions_REAR_DAMP_BUMP,1928.21296
suspensions_REAR_DAMP_FAST_BUMP,3284.54221
suspensions_REAR_DAMP_REBOUND,2735.14151
suspensions_REAR_DAMP_FAST_REBOUND,2342.41555
tyres_FRONT_PRESSURE_STATIC,12.68779
tyres_REAR_PRESSURE_STATIC,19.01133
