parameter,value
brakes_DATA_MAX_TORQUE,698.93018
brakes_DATA_FRONT_SHARE,0.76863
drivetrain_DIFFERENTIAL_POWER,0.36602
drivetrain_DIFFERENTIAL_COAST,0.212
drivetrain_DIFFERENTIAL_PRELOAD,2.3838
suspensions_BASIC_WHEELBASE,1.61676
suspensions_BASIC_CG_LOCATION,0.42474
suspensions_ARB_FRONT,7207.19228
suspensions_ARB_REAR,40821.02577
suspensions_FRONT_TRACK,1.01292
suspensions_FRONT_ROD_LENGTH,0.02469
suspensions_FRONT_TOE_OUT,-0.00052
suspensions_FRONT_STATIC_CAMBER,-2.43616
suspensions_FRONT_SPRING_RATE,28370.38402
suspensions_FRONT_BUMP_STOP_RATE,185702.01766
suspensions_FRONT_PACKER_RANGE,0.06119
suspensions_FRONT_DAMP_BUMP,1486.71376
suspensions_FRONT_DAMP_FAST_BUMP,1701.65839
suspensions_FRONT_DAMP_REBOUND,3953.3514
suspensions_FRONT_DAMP_FAST_REBOUND,3452.84685
suspensions_REAR_TRACK,1.10993
suspensions_REAR_ROD_LENGTH,0.02165
suspensions_REAR_TOE_OUT,0.00217
suspensions_REAR_STATIC_CAMBER,-2.13237
suspensions_REAR_SPRING_RATE,22653.89059
suspensions_REAR_BUMP_STOP_RATE,67859.44708
suspensions_REAR_PACKER_RANGE,0.08808
suspensions_REAR_DAMP_BUMP,1499.05128
suspensions_REAR_DAMP_FAST_BUMP,855.39614
suspensions_REAR_DAMP_REBOUND,3698.60581
suspensions_REAR_DAMP_FAST_REBOUND,3208.28739
tyres_FRONT_PRESSURE_STATIC,11.18156
tyres_REAR_PRESSURE_STATIC,11.01071
