parameter,value
brakes_DATA_MAX_TORQUE,665.90385
brakes_DATA_FRONT_SHARE,0.77296
drivetrain_DIFFERENTIAL_POWER,0.25401
drivetrain_DIFFERENTIAL_COAST,0.36639
drivetrain_DIFFERENTIAL_PRELOAD,8.57931
suspensions_BASIC_WHEELBASE,1.5884
suspensions_BASIC_CG_LOCATION,0.56829
suspensions_ARB_FRONT,66482.79449
suspensions_ARB_REAR,94444.24917
suspensions_FRONT_TRACK,1.00605
suspensions_FRONT_ROD_LENGTH,0.00216
suspensions_FRONT_TOE_OUT,0.00384
suspensions_FRONT_STATIC_CAMBER,-0.04776
suspensions_FRONT_SPRING_RATE,23538.6463
suspensions_FRONT_BUMP_STOP_RATE,75651.94299
suspensions_FRONT_PACKER_RANGE,0.04812
suspensions_FRONT_DAMP_BUMP,2601.9959
suspensions_FRONT_DAMP_FAST_BUMP,1852.50802
suspensions_FRONT_DAMP_REBOUND,3287.35956
suspensions_FRONT_DAMP_FAST_REBOUND,1885.45832
suspensions_REAR_TRACK,1.08011
suspensions_REAR_ROD_LENGTH,0.02043
suspensions_REAR_TOE_OUT,0.0017
suspensions_REAR_STATIC_CAMBER,-1.26305
suspensions_REAR_SPRING_RATE,29285.57839
suspensions_REAR_BUMP_STOP_RATE,134749.33393
suspensions_REAR_PACKER_RANGE,0.1099
suspensions_REAR_DAMP_BUMP,2440.21445
suspensions_REAR_DAMP_FAST_BUMP,797.32583
suspensions_REAR_DAMP_REBOUND,1670.01267
suspensions_REAR_DAMP_FAST_REBOUND,2622.91318
tyres_FRONT_PRESSURE_STATIC,18.07417
tyres_REAR_PRESSURE_STATIC,16.76262
