parameter,value
brakes_DATA_MAX_TORQUE,730.29848
brakes_DATA_FRONT_SHARE,0.61575
drivetrain_DIFFERENTIAL_POWER,0.06359
drivetrain_DIFFERENTIAL_COAST,0.64174
drivetrain_DIFFERENTIAL_PRELOAD,3.81777
suspensions_BASIC_WHEELBASE,1.72474
suspensions_BASIC_CG_LOCATION,0.4783
suspensions_ARB_FRONT,71255.11431
suspensions_ARB_REAR,114673.73996
suspensions_FRONT_TRACK,1.30944
suspensions_FRONT_ROD_LENGTH,0.00452
suspensions_FRONT_TOE_OUT,0.00216
suspensions_FRONT_STATIC_CAMBER,0.08738
suspensions_FRONT_SPRING_RATE,36732.73529
suspensions_FRONT_BUMP_STOP_RATE,57431.69461
suspensions_FRONT_PACKER_RANGE,0.11355
suspensions_FRONT_DAMP_BUMP,2536.59269
suspensions_FRONT_DAMP_FAST_BUMP,1175.5993
suspensions_FRONT_DAMP_REBOUND,2080.08929
suspensions_FRONT_DAMP_FAST_REBOUND,1461.52805
suspensions_REAR_TRACK,1.06547
suspensions_REAR_ROD_LENGTH,0.02249
suspensions_REAR_TOE_OUT,0.00384
suspensions_REAR_STATIC_CAMBER,-1.13211
suspensions_REAR_SPRING_RATE,25720.81649
suspensions_REAR_BUMP_STOP_RATE,61829.6764
suspensions_REAR_PACKER_RANGE,0.07256
suspensions_REAR_DAMP_BUMP,1130.49328
suspensions_REAR_DAMP_FAST_BUMP,3482.64828
suspensions_REAR_DAMP_REBOUND,2316.37047
suspensions_REAR_DAMP_FAST_REBOUND,2525.5573
tyres_FRONT_PRESSURE_STATIC,19.0497
tyres_REAR_PRESSURE_STATIC,7.60754
