parameter,value
brakes_DATA_MAX_TORQUE,512.11284
brakes_DATA_FRONT_SHARE,0.79993
drivetrain_DIFFERENTIAL_POWER,0.1581
drivetrain_DIFFERENTIAL_COAST,0.75376
drivetrain_DIFFERENTIAL_PRELOAD,9.83527
suspensions_BASIC_WHEELBASE,1.78683
suspensions_BASIC_CG_LOCATION,0.48527
suspensions_ARB_FRONT,93210.79399
suspensions_ARB_REAR,16220.24463
suspensions_FRONT_TRACK,1.31551
suspensions_FRONT_ROD_LENGTH,0.0133
suspensions_FRONT_TOE_OUT,-0.00033
suspensions_FRONT_STATIC_CAMBER,-2.72994
suspensions_FRONT_SPRING_RATE,42395.0676
suspensions_FRONT_BUMP_STOP_RATE,167928.56809
suspensions_FRONT_PACKER_RANGE,0.05264
suspensions_FRONT_DAMP_BUMP,3079.77834
suspensions_FRONT_DAMP_FAST_BUMP,602.53371
suspensions_FRONT_DAMP_REBOUND,1563.35225
suspensions_FRONT_DAMP_FAST_REBOUND,1303.55554
suspensions_REAR_TRACK,1.18377
suspensions_REAR_ROD_LENGTH,0.02311
suspensions_REAR_TOE_OUT,0.00357
suspensions_REAR_STATIC_CAMBER,-2.2849
suspensions_REAR_SPRING_RATE,32616.45189
suspensions_REAR_BUMP_STOP_RATE,123228.2879
suspensions_REAR_PACKER_RANGE,0.07226
suspensions_REAR_DAMP_BUMP,3242.07085
suspensions_REAR_DAMP_FAST_BUMP,3075.06164
suspensions_REAR_DAMP_REBOUND,2599.79682
suspensions_REAR_DAMP_FAST_REBOUND,2264.71948
tyres_FRONT_PRESSURE_STATIC,16.88308
tyres_REAR_PRESSURE_STATIC,8.8092
